R,G,B
59.375118371212125,68.92325599747475,53.05709438131313
59.5050110479798,68.93667140151516,53.01037720959596
59.455886994949495,69.03432765151516,53.141177398989896
59.55267518939394,69.11801609848484,53.27252998737374
59.5485716540404,69.21397569444444,53.2873658459596
59.55267518939394,69.3029908459596,53.16915246212121
59.497908775252526,69.17230902777777,53.19677241161616
59.047861426767675,68.85531092171718,52.866990214646464
58.861111111111114,68.59217171717172,52.71796085858586
58.831399936868685,68.4592408459596,52.6579466540404
58.83558238636363,68.41844223484848,52.67885890151515
58.86399147727273,68.37235637626263,52.668284406565654
58.84848484848485,68.3481691919192,52.62594696969697
58.90475063131313,68.35819128787878,52.654592803030305
58.96377840909091,68.4112215909091,52.690104166666664
58.97794349747475,68.4285432449495,52.69385258838384
58.97356376262626,68.43884154040404,52.68442234848485
58.996725063131315,68.45158617424242,52.70490056818182
59.02446338383838,68.47585227272727,52.746054292929294
59.05946180555556,68.52979008838383,52.784840593434346
59.0920533459596,68.57721748737374,52.79612531565657
59.11410984848485,68.62357954545455,52.827651515151516
59.15530303030303,68.68939393939394,52.86063762626262
59.194010416666664,68.74877683080808,52.87551294191919
59.22182765151515,68.80721275252525,52.93789457070707
59.25374842171717,68.88474589646465,52.956557765151516
59.26992582070707,68.95016571969697,52.95505839646464
59.331991792929294,69.03101325757575,53.01523042929293
59.39180871212121,69.14496527777777,53.085464015151516
59.43895991161616,69.21657986111111,53.142716224747474
59.453243371212125,69.28594539141415,53.13821811868687
59.20999053030303,69.00733901515152,52.81794507575758
59.257260101010104,69.08396464646465,52.837752525252526
59.30113636363637,69.14535984848484,52.84185606060606
59.33068970959596,69.23820233585859,52.912918244949495
59.19681186868687,69.1322601010101,52.84106691919192
58.793166035353536,68.75576073232324,52.52706755050505
58.54695391414141,68.39386047979798,52.34509154040404
58.49270044191919,68.23686079545455,52.24096433080808
58.51136363636363,68.14977904040404,52.21796085858586
58.48429608585859,68.06052714646465,52.1818970959596
58.502327967171716,68.00658933080808,52.171993371212125
58.53002683080808,67.99546243686869,52.153922032828284
58.563644255050505,68.00414299242425,52.18548768939394
58.605271464646464,68.01388888888889,52.219381313131315
58.58791035353536,68.01594065656566,52.2042297979798
58.58877840909091,68.00102588383838,52.21235795454545
58.60128630050505,68.00532670454545,52.22818023989899
58.633956755050505,68.03973327020202,52.24696180555556
58.680003156565654,68.08499053030303,52.29111426767677
58.72249842171717,68.16536458333333,52.3029908459596
58.76815025252525,68.23327020202021,52.33585858585859
58.802359532828284,68.30283301767676,52.380642361111114
58.85018150252525,68.38521938131314,52.419783775252526
58.890072601010104,68.44468118686869,52.46456755050505
58.92270359848485,68.5011442550505,52.485519255050505
58.94215593434343,68.56904987373737,52.51601957070707
58.97565498737374,68.6227509469697,52.540206755050505
58.992305871212125,68.70332228535354,52.593947285353536
59.03168402777778,68.76590119949495,52.61091382575758
59.084359217171716,68.85850694444444,52.62997159090909
59.13825757575758,68.95217803030303,52.68876262626262
59.13971748737374,69.03744476010101,52.69243213383838
59.19345801767677,69.1110716540404,52.758956755050505
59.20454545454545,69.12263257575758,52.758364898989896
58.91256313131313,68.90277777777777,52.568497474747474
58.49159564393939,68.44330018939394,52.26085069444444
58.305239898989896,68.12752525252525,52.068497474747474
58.29659880050505,67.99041193181819,52.03507733585859
58.3409485479798,67.93359375,52.02103061868687
58.33049242424242,67.86742424242425,52.03424873737374
58.33242582070707,67.8197995580808,51.99704071969697
58.37705176767677,67.84895833333333,52.03977272727273
58.441090593434346,67.88632417929293,52.05267518939394
58.44199810606061,67.87807765151516,52.04158775252525
58.427438446969695,67.85026041666667,52.01613794191919
58.41481218434343,67.84442077020202,52.03854955808081
58.44073547979798,67.8559816919192,52.05894886363637
58.46227904040404,67.88415404040404,52.08143939393939
58.51069286616162,67.93840751262626,52.0998658459596
58.54379734848485,67.99045138888889,52.13723169191919
58.595999053030305,68.05164930555556,52.1824889520202
58.61746369949495,68.10941445707071,52.21500157828283
58.655105744949495,68.17230902777777,52.22896938131313
58.67290088383838,68.23540088383838,52.283854166666664
58.728653724747474,68.31972064393939,52.31309185606061
58.75465593434343,68.36008522727273,52.356770833333336
58.79257417929293,68.42909564393939,52.41205018939394
58.846511994949495,68.49297664141415,52.43868371212121
58.87819602272727,68.60215435606061,52.46736900252525
58.91220801767677,68.65589488636364,52.55520044191919
58.950954861111114,68.76045612373737,52.58116319444444
58.87693339646464,68.72841698232324,52.54423137626262
58.45190183080808,68.35973011363636,52.256668244949495
58.17372948232323,67.94440498737374,51.99127998737374
58.02931660353536,67.66583806818181,51.81956281565657
58.025528724747474,67.55141256313131,51.758009785353536
58.04482323232323,67.50694444444444,51.767203282828284
58.076546717171716,67.47443181818181,51.785037878787875
58.103653724747474,67.46397569444444,51.75974589646464
58.12930082070707,67.49435763888889,51.815853851010104
58.16646938131313,67.5151120580808,51.82540246212121
58.15889362373738,67.49506786616162,51.8331360479798
58.11454387626262,67.46839488636364,51.78215751262626
58.11533301767677,67.45182291666667,51.811513573232325
58.144333964646464,67.47514204545455,51.78574810606061
58.21425189393939,67.55800189393939,51.88628472222222
58.26416508838384,67.63585069444444,51.91883680555556
58.31766887626262,67.70040246212122,51.98701862373738
58.37543402777778,67.78247316919192,51.98496685606061
58.387271148989896,67.82650726010101,52.04257417929293
58.38920454545455,67.87531565656566,52.02446338383838
58.42917455808081,67.93012152777777,52.081478851010104
58.448666351010104,67.98780776515152,52.09481534090909
58.50816761363637,68.08187342171718,52.14658301767677
58.554135101010104,68.16193181818181,52.21070075757576
58.60976957070707,68.25023674242425,52.219302398989896
58.68481691919192,68.3934659090909,52.32149621212121
58.74609375,68.47952178030303,52.39208491161616
58.78152619949495,68.57224589646465,52.440932765151516
58.671993371212125,68.52189867424242,52.33960700757576
58.20186237373738,68.08822601010101,52.00284090909091
57.83534564393939,67.58802872474747,51.67830650252525
57.73563762626262,67.29135101010101,51.55239898989899
57.68927556818182,67.13308869949495,51.45931976010101
57.701033775252526,67.06088226010101,51.45576862373738
57.68588226010101,66.98465119949495,51.43682922979798
57.69602272727273,66.94270833333333,51.42929292929293
57.72506313131313,66.96622474747475,51.453440656565654
57.759548611111114,66.97608901515152,51.488399621212125
57.76156092171717,66.96673768939394,51.49262152777778
57.7488952020202,66.9447601010101,51.446969696969695
57.767716224747474,66.95158617424242,51.464212436868685
57.79431029040404,66.98622948232324,51.46460700757576
57.848642676767675,67.05429292929293,51.54419191919192
57.904158775252526,67.13032670454545,51.57114109848485
57.96484375,67.19685132575758,51.631668244949495
58.02205650252525,67.25864109848484,51.68714488636363
58.048019255050505,67.3114346590909,51.69653566919192
58.082583648989896,67.37425031565657,51.719736426767675
58.13723169191919,67.46504103535354,51.815104166666664
58.19073547979798,67.5703125,51.837673611111114
