R,G,B
64.43458017676768,62.09524936868687,50.42542613636363
64.37574968434343,62.00406407828283,50.38222064393939
64.36766098484848,61.90096275252525,50.32047032828283
64.3381470959596,61.73019255050505,50.30011047979798
64.28184185606061,61.52852746212121,50.22597064393939
64.3783538510101,61.48583491161616,50.194168244949495
64.4240845959596,61.49668560606061,50.269570707070706
64.36466224747475,61.54758522727273,50.257181186868685
64.38600852272727,61.519846906565654,50.259903724747474
64.41339172979798,61.527975063131315,50.28870738636363
64.42814867424242,61.5485716540404,50.29604640151515
64.49755366161617,61.63533775252525,50.30673926767677
64.58203125,61.77931660353536,50.3766966540404
64.6702178030303,61.91311553030303,50.48650568181818
64.72612847222223,62.04525726010101,50.552359532828284
64.76811079545455,62.16773200757576,50.60586332070707
64.80555555555556,62.276199494949495,50.63525883838384
64.86876578282828,62.39086174242424,50.73366477272727
64.90230429292929,62.50789141414141,50.74857954545455
64.97281407828282,62.61596433080808,50.83755523989899
65.01037720959596,62.73528251262626,50.8766966540404
65.05843592171718,62.86667455808081,50.933909406565654
65.09883996212122,62.958846275252526,50.96247632575758
64.91212910353535,62.76029829545455,50.80859375
64.54861111111111,62.21543560606061,50.479482323232325
64.3420928030303,61.747395833333336,50.32567866161616
64.35357481060606,61.52418718434343,50.246409406565654
64.34536773989899,61.44053819444444,50.21736900252525
64.35345643939394,61.35819128787879,50.215988005050505
64.34004103535354,61.31747159090909,50.19815340909091
64.3794191919192,61.339804292929294,50.21164772727273
64.15356691919192,61.06786616161616,49.93497474747475
64.1930634469697,61.09899779040404,49.948587436868685
64.17775410353535,61.12756470959596,49.95568970959596
64.19618055555556,61.13525883838384,49.98800505050505
64.25086805555556,61.16595643939394,50.00244633838384
64.29474431818181,61.24850063131313,50.01665088383838
64.39295296717172,61.394057765151516,50.07524463383838
64.4548216540404,61.513375946969695,50.14895044191919
64.50209122474747,61.64666193181818,50.24325284090909
64.57228535353535,61.81171085858586,50.2990845959596
64.62870896464646,61.918008207070706,50.33499053030303
64.62354008838383,62.01826862373738,50.32398200757576
64.6730192550505,62.13119476010101,50.401870265151516
64.7215909090909,62.29940025252525,50.446969696969695
64.7951783459596,62.44669349747475,50.52734375
64.89019097222223,62.60973011363637,50.588265467171716
64.97005208333333,62.776712436868685,50.718631628787875
65.03184185606061,62.898634785353536,50.769846906565654
65.08128156565657,63.03835227272727,50.76104797979798
65.21066130050505,63.22849589646464,50.872750946969695
65.2645596590909,63.35625789141414,50.96168718434343
65.33080808080808,63.50568181818182,51.03945707070707
65.41437815656566,63.67716224747475,51.09303977272727
65.50437973484848,63.84449968434343,51.17041508838384
65.56313131313131,63.96732954545455,51.25315656565657
65.42495265151516,63.85250946969697,51.11040088383838
65.02264835858585,63.29095643939394,50.769649621212125
64.72644412878788,62.775686553030305,50.531210542929294
64.63001104797979,62.54257417929293,50.478811553030305
64.66220801767676,62.460976957070706,50.4403014520202
64.70008680555556,62.44282670454545,50.48196811868687
64.74293718434343,62.38087910353536,50.43106849747475
64.79415246212122,62.42325599747475,50.51069286616162
64.83629261363636,62.487807765151516,50.52600220959596
64.86482007575758,62.48682133838384,50.571890782828284
64.85901988636364,62.50390625,50.53436710858586
64.84461805555556,62.49234532828283,50.57725694444444
64.87460542929293,62.51523042929293,50.570785984848484
64.94606218434343,62.589212436868685,50.64934501262626
64.97814078282828,62.70415088383838,50.66390467171717
65.06056660353535,62.81545928030303,50.737807765151516
65.09083017676768,62.91769255050505,50.765072601010104
65.18927556818181,63.06159248737374,50.87693339646464
65.2153566919192,63.123184974747474,50.88407512626262
