R,G,B
55.30034722222222,68.17976641414141,52.41950757575758
55.40293560606061,68.36458333333333,52.45123106060606
55.44590435606061,68.51566445707071,52.45726799242424
55.61904198232323,68.68738162878788,52.683120265151516
55.71002998737374,68.7957307449495,52.84449968434343
55.81340751262626,68.96665877525253,52.93130523989899
55.963107638888886,69.09836647727273,53.034603851010104
56.00698390151515,69.3336884469697,53.07769097222222
56.13320707070707,69.47948232323232,53.187815656565654
56.234177714646464,69.64800347222223,53.301096906565654
56.28716856060606,69.77406881313131,53.366556186868685
56.22739109848485,69.73307291666667,53.29951862373738
55.7996764520202,69.13979640151516,52.908420138888886
55.37634154040404,68.36261047979798,52.425583964646464
55.07398200757576,67.80567392676768,52.154947916666664
54.96602746212121,67.54604640151516,52.05646306818182
54.90143623737374,67.4402619949495,51.95209911616162
54.863478535353536,67.41019570707071,51.95296717171717
54.94815340909091,67.49897411616162,52.01033775252525
55.05326704545455,67.6618529040404,52.16532512626262
55.13861268939394,67.80512152777777,52.219894255050505
55.18197601010101,67.88178661616162,52.26909722222222
55.20632102272727,67.9084990530303,52.28318339646464
55.30610795454545,68.03653724747475,52.38486426767677
55.354324494949495,68.13083964646465,52.45170454545455
55.45127051767677,68.28128945707071,52.54865056818182
55.5368529040404,68.42053345959596,52.585621843434346
55.679490214646464,68.62740688131314,52.73583491161616
55.80093907828283,68.8141966540404,52.85996685606061
55.86142676767677,68.91587752525253,52.91934974747475
55.97230113636363,69.11513573232324,52.99897411616162
55.783577967171716,68.88679766414141,52.659682765151516
55.88604797979798,69.02698863636364,52.729324494949495
55.9826783459596,69.16765309343434,52.854995265151516
56.0636047979798,69.30460858585859,52.95643939393939
56.18560606060606,69.48405934343434,52.99810606060606
56.26187657828283,69.64413667929293,53.07784880050505
56.36679292929293,69.78125,53.208175505050505
56.42645202020202,69.90940656565657,53.22143308080808
56.25015782828283,69.7009154040404,53.0792297979798
55.871567234848484,69.07185132575758,52.735519255050505
55.45643939393939,68.3219696969697,52.3102904040404
55.238754734848484,67.88884943181819,52.09907670454545
55.12689393939394,67.71638257575758,52.010416666666664
55.12421085858586,67.67329545454545,51.988320707070706
55.14011205808081,67.69408933080808,51.99112215909091
55.22170928030303,67.81072443181819,52.06198705808081
55.37409248737374,67.99704071969697,52.242305871212125
55.394649621212125,68.05626578282828,52.24550189393939
55.45797821969697,68.14563604797979,52.28247316919192
55.513533775252526,68.23070549242425,52.32066761363637
55.57753314393939,68.3197995580808,52.40534248737374
55.690419823232325,68.48208648989899,52.524068813131315
55.77371369949495,68.63435132575758,52.62409248737374
55.87255366161616,68.7846433080808,52.69799558080808
55.97088068181818,68.9358428030303,52.79711174242424
56.06534090909091,69.09043560606061,52.90546085858586
56.18114741161616,69.26369160353535,52.96034564393939
56.23788667929293,69.40171243686869,53.026870265151516
56.342605744949495,69.57350852272727,53.15542140151515
56.41599589646464,69.69045928030303,53.22896938131313
56.50082859848485,69.8376341540404,53.27529198232323
56.57327178030303,70.00493213383838,53.35531092171717
56.63742897727273,70.09181660353535,53.430673926767675
56.75994318181818,70.27825126262626,53.51546717171717
56.84682765151515,70.41169507575758,53.603140782828284
56.88016887626262,70.5144807449495,53.64737215909091
56.69168244949495,70.22798295454545,53.47956123737374
56.164101957070706,69.41441761363636,52.95497948232323
55.745975378787875,68.61197916666667,52.48555871212121
55.49538352272727,68.05677872474747,52.26953125
55.37310606060606,67.78693181818181,52.14977904040404
55.31601167929293,67.65376420454545,51.98725536616162
55.29971590909091,67.65435606060606,52.02856691919192
55.368844696969695,67.70880681818181,52.11868686868687
55.42266414141414,67.81518308080808,52.20501893939394
55.52990845959596,67.95778093434343,52.26980744949495
55.558909406565654,67.97715435606061,52.28823390151515
55.62409248737374,68.04123263888889,52.34883996212121
55.67416351010101,68.11750315656566,52.36150568181818
55.746291035353536,68.23682133838383,52.42069128787879
55.8845091540404,68.4241240530303,52.58542455808081
55.91548295454545,68.52107007575758,52.58672664141414
56.03409090909091,68.6969696969697,52.7176452020202
56.10018150252525,68.80409564393939,52.75532670454545
56.20888573232323,68.98066603535354,52.86576704545455
56.26811079545455,69.1110716540404,52.97139362373738
56.380642361111114,69.26874210858585,53.056936553030305
56.460819128787875,69.41378630050505,53.12022569444444
56.54296875,69.55449021464646,53.17712279040404
56.61556976010101,69.7014283459596,53.277028093434346
56.68872316919192,69.79620422979798,53.33013731060606
56.813802083333336,69.97967960858585,53.46926294191919
56.846354166666664,70.14070391414141,53.48555871212121
56.937539457070706,70.25777304292929,53.55275410353536
56.94341856060606,70.28085542929293,53.6004577020202
56.617305871212125,69.76992582070707,53.22904829545455
56.1233033459596,68.93406723484848,52.77418718434343
55.72265625,68.10965119949495,52.285787563131315
55.51357323232323,67.70233585858585,52.066603535353536
55.43331755050505,67.49045138888889,51.97798295454545
55.36474116161616,67.39488636363636,51.94633838383838
55.386403093434346,67.40423768939394,51.97415561868687
55.469065656565654,67.5044191919192,52.084280303030305
55.6032591540404,67.68059501262626,52.199692234848484
55.61691130050505,67.74427872474747,52.198666351010104
55.63817866161616,67.79947916666667,52.230666035353536
55.74029356060606,67.90743371212122,52.314157196969695
55.80062342171717,67.98701862373737,52.33471433080808
55.91769255050505,68.15396148989899,52.456044823232325
55.997080176767675,68.29000946969697,52.53448547979798
56.113833648989896,68.47415561868686,52.62314551767677
56.193497474747474,68.6540404040404,52.74005681818182
56.27146464646464,68.79292929292929,52.84185606060606
56.41220801767677,68.97265625,52.902896148989896
56.466145833333336,69.10298295454545,52.967092803030305
