R,G,B
64.61730587121212,59.976365214646464,52.24404198232323
64.72190656565657,60.16998106060606,52.43481691919192
64.91824494949495,60.37357954545455,52.578125
65.10657354797979,60.568221275252526,52.72115688131313
65.21827651515152,60.770833333333336,52.7634154040404
65.28712910353535,60.97478693181818,52.83558238636363
65.39429450757575,61.17617582070707,53.02260890151515
65.51530934343434,61.40041035353536,53.040877525252526
65.60791508838383,61.628432765151516,53.17151988636363
65.71946022727273,61.846511994949495,53.331833964646464
65.83641098484848,62.09872159090909,53.40632891414141
65.93292297979798,62.31581439393939,53.51262626262626
66.01830808080808,62.55334595959596,53.64820075757576
66.12188289141415,62.777028093434346,53.742148042929294
66.24751420454545,63.04723011363637,53.91354955808081
66.25299873737374,63.23895202020202,53.94176136363637
66.33984375,63.4815735479798,54.062381628787875
66.49569917929293,63.754379734848484,54.280105744949495
66.54158775252525,63.95793876262626,54.34240845959596
66.63821811868686,64.16173453282828,54.49380523989899
66.19456281565657,63.61328125,54.0641966540404
65.50844381313131,62.41216856060606,53.40033143939394
65.1897095959596,61.53140782828283,52.97411616161616
65.1154908459596,61.255642361111114,52.85223327020202
64.98839962121212,60.97514204545455,52.74455492424242
64.77241161616162,60.597853535353536,52.529671717171716
64.66015625,60.296677714646464,52.41031407828283
64.69791666666667,60.33159722222222,52.47238005050505
64.98559816919192,60.74633049242424,52.73370422979798
65.03326231060606,60.86343907828283,52.75958806818182
64.99708017676768,60.85440340909091,52.76144255050505
64.74060921717172,60.6026672979798,52.422427398989896
64.88008996212122,60.77087279040404,52.48599273989899
65.0088778409091,60.98630839646464,52.63372001262626
65.07990056818181,61.137350063131315,52.7282591540404
65.25351167929293,61.42696496212121,52.83526672979798
65.33652935606061,61.61351799242424,52.943221275252526
65.40048926767676,61.77769886363637,52.99550189393939
65.47230113636364,61.95793876262626,53.12286931818182
65.57027304292929,62.11904198232323,53.188802083333336
65.64906881313131,62.30705492424242,53.31289457070707
65.70059974747475,62.50205176767677,53.39630681818182
65.78724747474747,62.7488952020202,53.51483585858586
65.79375789141415,62.92459753787879,53.56727430555556
65.91946811868686,63.15352746212121,53.71807922979798
65.95486111111111,63.32528409090909,53.81265782828283
66.04257417929293,63.49601483585859,53.87890625
66.16615372474747,63.69487847222222,53.99143781565657
66.23157354797979,63.851523042929294,54.068221275252526
66.3236663510101,64.03184185606061,54.192984532828284
66.32023358585859,64.13068181818181,54.22695707070707
65.76822916666667,63.39212436868687,53.73082386363637
65.1144255050505,62.13131313131313,53.042771464646464
64.77801452020202,61.27485795454545,52.643386994949495
64.7276278409091,60.91923137626262,52.49877683080808
64.55224116161617,60.57370580808081,52.33633207070707
64.34647253787878,60.13545612373738,52.18091066919192
64.18710542929293,59.82473169191919,52.01017992424242
64.34745896464646,59.964883207070706,52.14149305555556
64.55796243686869,60.26266571969697,52.30622632575758
64.49293718434343,60.246409406565654,52.27103061868687
64.48370422979798,60.20355902777778,52.22518150252525
64.48125789141415,60.2137389520202,52.252091224747474
64.60361426767676,60.366871843434346,52.31589330808081
64.75718118686869,60.58499053030303,52.43678977272727
64.85720486111111,60.765506628787875,52.52986900252525
64.98236268939394,60.94053819444444,52.68091066919192
65.02477904040404,61.09122474747475,52.66082702020202
65.12354008838383,61.25864109848485,52.80883049242424
65.20549242424242,61.40151515151515,52.85164141414141
65.29000946969697,61.576467803030305,52.982717803030305
65.38143150252525,61.72265625,53.059146148989896
65.45391414141415,61.874684343434346,53.15546085858586
65.56668244949495,62.14496527777778,53.27990845959596
65.64887152777777,62.351680871212125,53.401712436868685
65.70707070707071,62.52035984848485,53.490372474747474
65.63328598484848,62.54174558080808,53.43615845959596
65.02951388888889,61.592013888888886,52.838857323232325
64.38920454545455,60.35116792929293,52.264046717171716
64.06182922979798,59.62574968434343,51.8956360479798
